season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,15,CHI,GB,46.5,41.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,15,MIN,MIA,45.0,58.0,0.0,0.0,0.0,0.9918181818181818,0,0,0,1.0
2018,15,PIT,NE,55.0,27.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,15,CIN,OAK,46.0,46.0,0.0,0.0,0.82,0.0,0,0,0,
2018,15,LA,PHI,52.5,53.0,0.0,0.0,0.0,1.5862500000000002,0,0,0,1.0
2018,15,SF,SEA,44.0,49.0,0.0,0.0,0.8685714285714285,0.855,0,0,0,1.0
2018,15,BAL,TB,44.5,32.0,0.0,0.0,0.0,0.9777777777777779,0,0,0,0.0
2018,15,NYG,TEN,42.0,17.0,1.0,0.0,0.0,0.6825,1,0,1,0.0
2018,15,JAX,WAS,36.0,29.0,0.0,0.0,0.19545454545454544,0.19454545454545455,0,0,0,0.0
2018,15,CAR,NO,50.5,21.0,0.0,0.0,0.6546153846153846,0.0,0,0,0,0.0
2018,16,LAC,BAL,42.5,32.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,16,TEN,WAS,38.0,41.0,0.0,0.0,0.8994230769230769,0.0,0,0,0,1.0
2018,16,CAR,ATL,46.5,34.0,0.0,0.0,0.6807692307692308,0.0,0,0,0,0.0
2018,16,NE,BUF,46.0,36.0,0.0,0.0,0.0,0.3516666666666666,0,0,0,0.0
2018,16,SF,CHI,44.0,23.0,0.0,0.0,0.8685714285714285,1.3971794871794871,0,1,1,0.0
2018,16,CLE,CIN,44.0,44.0,0.0,0.0,0.0,0.635034965034965,0,0,0,
2018,16,NYJ,GB,47.5,82.0,0.0,0.0,0.041249999999999995,0.855,0,0,0,1.0
2018,16,PHI,HOU,47.0,62.0,0.0,0.0,0.58625,0.27125,0,0,0,1.0
2018,16,MIA,JAX,39.5,24.0,0.0,0.0,0.9938461538461538,0.37846153846153846,0,0,0,0.0
2018,16,SEA,KC,54.0,69.0,0.0,0.0,0.753076923076923,0.0,0,0,0,1.0
2018,16,ARI,LA,43.0,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,16,DET,MIN,41.5,36.0,0.0,0.0,0.0,0.9853846153846154,0,0,0,0.0
2018,16,IND,NYG,48.5,55.0,0.0,1.0,0.92,1.0,1,0,1,1.0
2018,16,NO,PIT,53.0,59.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,16,DAL,TB,48.0,47.0,0.0,0.0,0.46,0.0,0,0,0,0.0
