coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Brian Newberry,18.0,29.766666666666666,29.7,0.06666666666666643,0.13432835820895522,0.16842105263157894,-0.03409269442262372,,5.0,2.888888888888889,5.5,4.0,0.5714285714285714,7.0,-0.10840438254848195
Willie Fritz,19.0,30.125,27.025,3.1000000000000014,0.3972602739726027,0.4125,-0.01523972602739726,0.18181818181818182,11.0,2.473684210526316,16.0,4.0,0.8571428571428571,7.0,-0.11129522102256
Mel Tucker,11.0,24.666666666666668,19.895833333333336,4.770833333333332,0.3333333333333333,0.47619047619047616,-0.14285714285714285,,7.0,3.1818181818181817,19.0,2.0,0.5,4.0,-0.16579144146682506
Kalani Sitake,16.0,34.025,28.827272727272728,5.1977272727272705,0.273972602739726,0.45121951219512196,-0.17724690945539595,1.0,10.0,2.6875,3.0,5.0,0.2727272727272727,11.0,-0.16834547770127925
Ricky Rahne,11.0,25.083333333333332,23.0,2.083333333333332,0.2857142857142857,0.5217391304347826,-0.2360248447204969,,7.0,3.3636363636363638,18.5,2.0,0.0,7.0,-0.17211589058161808
Brian Kelly,13.0,29.833333333333332,26.0,3.833333333333332,0.3333333333333333,0.5539568345323741,-0.22062350119904078,,7.0,3.3076923076923075,20.0,3.0,0.5714285714285714,7.0,-0.22149663056966357
Tyson Helton,14.0,29.625,22.416666666666664,7.208333333333336,0.47540983606557374,0.6195652173913043,-0.14415538132573058,0.3333333333333333,18.0,4.142857142857143,7.0,5.0,0.5,4.0,-0.2720291728640519
Charles Huff,17.0,24.333333333333332,22.566666666666666,1.7666666666666657,0.4069767441860465,0.5695364238410596,-0.1625596796550131,0.0,19.0,3.0588235294117645,18.0,3.0,0.3333333333333333,6.0,-0.2739034470307848
Mike Houston,10.0,23.666666666666664,20.666666666666664,3.0,0.35555555555555557,0.4594594594594595,-0.10390390390390392,0.09090909090909091,11.0,2.8,14.0,2.0,,,-0.320629184160009
Lance Leipold,17.0,30.818181818181817,27.291666666666664,3.5265151515151523,0.22535211267605634,0.43956043956043955,-0.2142083268843832,,6.0,3.0588235294117645,17.5,4.0,0.6666666666666666,6.0,-0.3438023016837095
Hugh Freeze,25.0,25.94642857142857,22.6,3.346428571428568,0.37777777777777777,0.5,-0.12222222222222223,0.22580645161290322,31.0,2.36,14.0,7.0,0.6666666666666666,3.0,-0.37889161719781045
Chris Klieman,12.0,30.021428571428572,27.142857142857142,2.87857142857143,0.35294117647058826,0.4657534246575342,-0.11281224818694596,0.08333333333333333,12.0,2.5833333333333335,14.0,3.0,0.6,5.0,-0.3923448208363081
Matt Campbell,19.0,34.4,28.392857142857142,6.007142857142856,0.3125,0.5100671140939598,-0.19756711409395977,0.2,15.0,3.789473684210526,11.0,5.0,0.0,6.0,-0.40525510033116346
Dino Babers,16.0,23.166666666666664,19.375,3.7916666666666643,0.3230769230769231,0.38095238095238093,-0.057875457875457836,,7.0,2.375,10.0,3.0,1.0,3.0,-0.4348758286686673
Troy Calhoun,18.0,34.0,28.6875,5.3125,0.013157894736842105,0.11398963730569948,-0.10083174256885738,,1.0,3.111111111111111,7.0,7.0,0.6666666666666666,6.0,-0.5054508373370101
Dave Clawson,12.0,25.189393939393938,21.198412698412696,3.9909812409812417,0.3269230769230769,0.46296296296296297,-0.13603988603988604,0.46153846153846156,13.0,2.25,3.5,4.0,0.6666666666666666,6.0,-0.549358465085847
Mike Locksley,29.0,28.555555555555557,27.0,1.5555555555555571,0.2932330827067669,0.5459459459459459,-0.252712863239179,0.038461538461538464,26.0,3.1724137931034484,10.5,6.0,0.45454545454545453,11.0,-0.5717013972917513
James Franklin,14.0,30.733333333333334,27.628205128205128,3.1051282051282065,0.2982456140350877,0.4224137931034483,-0.12416817906836058,0.0,11.0,2.4285714285714284,10.0,3.0,0.6666666666666666,6.0,-0.634554825783837
Chip Kelly,14.0,23.214285714285715,21.666666666666668,1.5476190476190474,0.18333333333333332,0.5774647887323944,-0.394131455399061,0.4,10.0,2.5,14.0,3.0,0.5,2.0,-0.6407259926599833
Butch Jones,11.0,30.75,23.333333333333332,7.416666666666668,0.2923076923076923,0.49572649572649574,-0.20341880341880342,0.3333333333333333,12.0,3.8181818181818183,0.0,3.0,1.0,1.0,-0.6604362291942303
Dave Doeren,16.0,31.775,27.958333333333336,3.816666666666663,0.34782608695652173,0.5064935064935064,-0.1586674195369847,0.1875,16.0,1.4375,17.0,3.0,0.3333333333333333,3.0,-0.6623541310058381
Jake Dickert,21.0,26.833333333333332,18.428571428571427,8.404761904761905,0.44155844155844154,0.6612903225806451,-0.2197318810222036,0.2727272727272727,11.0,3.142857142857143,10.5,4.0,1.0,6.0,-0.695627834232649
Will Hall,13.0,31.875,26.44318181818182,5.43181818181818,0.39215686274509803,0.5277777777777778,-0.13562091503267976,0.0,13.0,3.0,6.5,4.0,1.0,2.0,-0.7269862196713925
Sean Lewis,14.0,35.975,19.0,16.975,0.203125,0.4111111111111111,-0.2079861111111111,,5.0,4.142857142857143,21.0,4.0,1.0,3.0,-0.7762541791082559
Sonny Cumbie,11.0,29.5,24.0,5.5,0.42105263157894735,0.4470588235294118,-0.02600619195046444,0.4166666666666667,12.0,0.9090909090909091,3.0,3.0,0.3333333333333333,3.0,-0.8022790308587403
Clark Lea,12.0,36.75,23.0,13.75,0.25,0.4032258064516129,-0.15322580645161288,,5.0,2.9166666666666665,21.0,3.0,0.25,4.0,-0.813258053517973
Shane Beamer,11.0,27.75,24.181818181818183,3.5681818181818166,0.2857142857142857,0.4423076923076923,-0.1565934065934066,0.0,11.0,2.1818181818181817,7.0,3.0,0.6666666666666666,3.0,-0.8620258128460956
Kyle Whittingham,23.0,31.0,25.126984126984127,5.8730158730158735,0.24242424242424243,0.4819277108433735,-0.23950346841913106,,7.0,2.4347826086956523,14.0,6.0,0.8,5.0,-0.8722075916699401
Tony Elliott,10.0,30.833333333333336,22.375,8.458333333333336,0.3939393939393939,0.45454545454545453,-0.06060606060606061,,8.0,1.3,6.0,2.0,0.4,5.0,-1.2221372959841679
Rick Stockstill,12.0,41.0,21.5,19.5,0.21621621621621623,0.5897435897435898,-0.37352737352737353,0.7272727272727273,11.0,1.75,14.0,3.0,0.3333333333333333,6.0,-1.492734845105478
