feature,n,pearson,spearman,q1_mean,q4_mean,q4_minus_q1
off_aggressiveness_s2d,3428,0.014308935300060402,0.010052826021625418,-0.5079222525428149,0.07119761026366064,0.5791198628064755
last1_against_resid,3428,-0.014146013376459701,-0.013736575305118149,0.05206625943659972,-0.4732421223271027,-0.5253083817637024
def_td_pct_per_drive_allowed_s2d,3428,-0.013892197537204486,-0.016904726627193715,-0.1879647074355231,-0.641933692456793,-0.4539689850212699
off_3andout_s2d,3428,-0.013855703327796792,-0.020179825604682258,-0.4142325941014482,-0.7825580524884382,-0.36832545838699005
def_td_per_drive_allowed_s2d,3428,-0.013118357407294905,-0.016434434300853885,-0.18328321934618297,-0.641933692456793,-0.45865047311061
def_rush_epa_allowed_neutral_s2d,3428,0.01287564391871241,0.01105659823499972,-0.5827308280121751,-0.15259442705651496,0.4301364009556602
def_rush_epa_last3,3428,-0.01286721324804006,0.001706631118451528,-0.19438514704178814,-0.6126095917127073,-0.41822444467091924
last1_for_resid,3428,0.012488444363617943,0.011617736746905636,-0.8744781602365839,-0.030237642636698803,0.844240517599885
off_ryoe_last3,3428,-0.012403228984107026,-0.01276820943394825,-0.10972549178843366,-0.05665436925737273,0.05307112253106093
off_ftn_no_huddle_s2d,1764,-0.011952491888521582,-0.005551562717246871,0.07957770345462269,-0.10331378189653075,-0.18289148535115343
def_pressure_rate_s2d,1764,0.011667626730655904,0.00950269953809563,-0.6785952024647502,-0.5226264327718068,0.1559687696929435
off_no_huddle_s2d,3428,0.01136069662468034,0.030069072952822747,-0.656967222086383,0.11727416939077598,0.774241391477159
def_explosive_rush_allowed_s2d,3428,-0.010970819676516981,-0.016576765883846104,-0.06335313369706874,-0.5943374455720424,-0.5309843118749736
last5_for_resid,3172,0.010093625860057546,0.007401605358316365,-0.3509462936381524,-0.657204031496652,-0.3062577378584996
off_pace_s2d,3428,-0.00961064843404878,-0.015919245098792435,-0.36276375271374095,-0.6926017544829659,-0.32983800176922495
trend_for_5,3172,0.009367428684942634,0.007185591738677953,-0.5047042568606193,-0.22237435673182543,0.28232990012879383
off_no_huddle_rate_s2d,3428,0.008699037648374614,0.028106257420476066,-0.6608216771317229,0.043201923731599166,0.704023600863322
last5_against_resid,3172,-0.007504914419201461,-0.0010651368587484857,-0.5438389713549393,-0.5645330625157134,-0.020694091160774142
last3_against_resid,3428,-0.00632513702691057,0.0036403280820998833,-0.30104361458380996,-0.6217964241788908,-0.32075280959508085
def_three_and_out_forced_s2d,3428,-0.00625742056975138,-0.012410128570526528,-0.3292735246441024,-0.17182059366492072,0.1574529309791817
DELTA_off_off_ryoe,3428,-0.005561338057571022,-0.008503314442394837,-0.013863353764629011,-0.10668936681712549,-0.09282601305249648
DELTA_def_def_rush_epa,3428,0.0054663342029844025,0.012225668352657901,-0.6859718464393224,-0.3222304168015773,0.3637414296377451
def_rush_sr_allowed_s2d,3428,0.005155886663931717,0.004223521454831918,-0.2693862037067824,-0.3675965719852615,-0.09821036827847912
def_rush_success_allowed_s2d,3428,0.005118256791095076,0.004371385012840015,-0.2739302658990289,-0.3677278438639079,-0.09379757796487898
def_3andout_forced_s2d,3428,-0.0050793408706779385,-0.011425322438659532,-0.35627339499286437,-0.17182059366492072,0.18445280132794364
def_dib_s2d,1764,0.004089437774515745,0.004083978677121268,-0.2012855387231453,-0.10813741240596193,0.09314812631718337
def_ppd_allowed_s2d,3428,0.0028325016252338238,-0.00055054622298059,-0.28316807842991776,-0.4423771501677094,-0.15920907173779164
trend_against_5,3172,0.002217944099627331,0.0007343338217617021,-0.028815932563150237,-0.22662227448648048,-0.19780634192333024
def_pts_per_drive_allowed_s2d,3428,0.001876746123306379,-0.0011468507445057407,-0.2537761427369319,-0.4717690858606954,-0.2179929431237635
def_ed_rush_epa_allowed_s2d,3428,0.0008484895868436975,0.006708266965630024,-0.3310497952729023,-0.13939885718414224,0.19165093808876005
def_early_down_rush_epa_allowed_s2d,3428,0.00017115127571647813,0.006250010166054813,-0.3016578595799165,-0.13939885718414224,0.16225900239577423
DELTA_def_def_pass_epa,3428,0.0001691399425479679,-0.0025079166270657646,-0.48032034981262073,-0.07436801376176978,0.40595233605085096
