phase,feature,rule,market,disc_n,disc_roi,disc_z,val_n,val_roi,val_excess,val_z
gp25,d_l3_atsm,d_l3_atsm >= 13.38,fg_spread_dog,175,9.098663926124573,2.0043364,221,1.104990392923355,6.493288278579712,1.0106022
all,d_l10_opp,d_l10_opp >= 10.7,fg_spread_fav,218,10.364476591348648,2.1614528,211,1.30311893299222,6.617312878370285,1.0068746
gp25,d_l3_margin,d_l3_margin <= -18,fg_spread_fav,174,11.927134543657303,2.161573,219,2.85183135420084,6.478551030158997,1.0043145
gp25,a_l5_cover,a_l5_cover == 0.8,fg_spread_fav,248,8.545294404029846,2.0226376,244,2.507367357611656,6.134086847305298,1.0037247
stretch,gbr_dog,gbr_dog >= 1.171,fg_total_over,228,8.010891824960709,2.4943185,266,6.94429948925972,5.843129381537437,1.0001098
postdl,a_gp_prior,a_gp_prior <= 63,fg_total_under,272,13.703206181526184,2.9623296,391,-4.774290695786476,4.7431934624910355,0.9838114
gp25,gbr_fav,gbr_fav <= -0.4706,fg_total_over,173,9.248558431863785,2.029772,185,4.237726703286171,6.870566308498383,0.9792552
gp25,d_s2d_oum,d_s2d_oum <= -1.826,h1_total_under,274,9.300567209720612,2.1768782,509,-1.3503269292414188,4.100207984447479,0.96850234
stretch,h_gp_prior,h_gp_prior >= 76,tt_home_over,132,7.080897688865662,2.2076368,193,5.252193659543991,6.611587107181549,0.96810853
late,a_km_7d,a_km_7d >= 4497,fg_spread_away,183,12.665922939777374,2.037826,193,-0.06492397515103221,6.614138185977936,0.9624116
all,a_l10_h1t,a_l10_h1t >= 118,fg_total_under,651,4.987961053848267,2.6207256,628,-3.3057712018489838,3.6274559795856476,0.95244586
