market,cut,venue,n,win,roi,blind_roi,delta,mae_blend,mae_line,mae_model
player_rebounds,top100%,second,35969,47.95657371625566,-9.446768140225451,-1.6815008225998167,-7.765267317625635,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top25%,cons,9454,44.552570340596574,-4.990969271394549,-4.071313555103946,-0.9196557162906034,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top25%,best,9456,47.11823181049069,-12.095922998794041,-0.2368608202829377,-11.859062178511103,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top25%,second,8993,45.99688646725231,-13.196103699173104,-1.700847112839524,-11.49525658633358,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top10%,cons,3782,43.33685880486515,-5.145936457332891,-5.147230275278682,0.001293817945790643,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top10%,best,3783,45.75733544805709,-14.544704717963327,-1.96817009467282,-12.576534623290508,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top10%,second,3597,45.02363080344732,-14.794972110596637,-3.0886525507267564,-11.70631955986988,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top5%,cons,1893,42.52509244585314,-5.625194245019541,-7.087316358146123,1.4621221131265818,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top5%,best,1893,44.532488114104595,-16.022255328743153,-4.112909587047999,-11.909345741695155,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top5%,second,1799,44.191217342968315,-15.607571774154588,-5.1760631577712815,-10.431508616383306,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds_assists,top100%,cons,33090,48.16258688425506,-5.441116331278575,-3.1543244999245457,-2.2867918313540296,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top100%,best,33238,48.93495396834948,-8.043874270742826,-0.7678718908045853,-7.276002379938241,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top100%,second,26796,48.49977608598298,-9.011130338329792,-3.109599950865572,-5.90153038746422,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top25%,cons,8306,46.48446905851192,-4.506124323200324,-3.2286655736377146,-1.2774587495626095,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top25%,best,8312,47.57579403272378,-10.69293486759339,-1.1109904057137432,-9.581944461879647,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top25%,second,6699,46.47708613225855,-12.587042663823064,-3.214578517142793,-9.372464146680272,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top10%,cons,3324,46.29963898916967,-2.965753011755134,-3.354985956393998,0.3892329446388638,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top10%,best,3324,47.277376654632974,-11.186142782226796,-1.7806232764545904,-9.405519505772205,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top10%,second,2680,46.38059701492537,-12.699134894716206,-3.6841931494314277,-9.014941745284778,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top5%,cons,1662,45.84837545126354,-2.871537230075051,-5.644511480767518,2.772974250692467,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top5%,best,1662,46.3898916967509,-12.549402857945715,-5.168345731948687,-7.381057125997028,2.781184261111983,2.7796046693543532,2.802719785364147
player_rebounds_assists,top5%,second,1340,46.56716417910448,-12.173917418095602,-4.278793708601994,-7.895123709493608,2.781184261111983,2.7796046693543532,2.802719785364147
player_steals,top100%,cons,21364,48.92342258004119,-3.407128646542932,-2.8017101836235776,-0.6054184629193542,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top100%,best,21533,49.022430687781544,-4.132693778708427,-1.3197003602040427,-2.8129934185043846,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top100%,second,15586,49.528422943667394,-2.8370895641813467,-3.4185120471402186,0.5814224829588719,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top25%,cons,5299,47.6882430647292,-0.2535699200778665,-0.1092036662629965,-0.14436625381487,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top25%,best,5388,47.78210838901262,-7.256187676675424,1.0326114046901087,-8.288799081365532,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top25%,second,3897,48.85809597125994,-3.6685624534361234,-1.7722586836605645,-1.896303769775559,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top10%,cons,2107,46.89131466540105,1.28099848209086,0.13755346623200287,1.1434450158588572,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top10%,best,2155,47.030162412993036,-8.762922992285885,1.2946265479528156,-10.0575495402387,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top10%,second,1559,48.33226427196921,-4.526404102617842,0.35939342016742504,-4.885797522785267,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top5%,cons,1055,45.87677725118483,0.6545866270200901,1.2788422977754854,-0.6242556707553953,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top5%,best,1077,46.00742804085422,-10.652435163490841,2.078056479341583,-12.730491642832424,0.8308755918818649,0.8702688896112943,0.830258801994467
player_steals,top5%,second,780,45.76923076923077,-9.691450588214092,1.4337109449582224,-11.125161533172314,0.8308755918818649,0.8702688896112943,0.830258801994467
player_threes,top100%,cons,34002,47.7442503382154,-5.122561913982194,-3.2068231906423037,-1.9157387233398904,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top100%,best,34093,48.43516264335788,-6.253836545367136,-0.3110953971485273,-5.942741148218609,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top100%,second,31806,48.24875809595674,-6.91586383174802,-1.9228452909954508,-4.993018540752569,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top25%,cons,8476,46.047663992449266,-4.749712172180147,-3.448182638381213,-1.3015295337989343,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top25%,best,8526,46.56345296739385,-9.27498479586321,-0.7136724027646643,-8.561312393098545,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top25%,second,7952,46.98189134808853,-9.094068919958723,-2.634278409018123,-6.4597905109406,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top10%,cons,3388,42.11924439197167,-7.632893549087057,-2.688870470808135,-4.9440230782789225,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top10%,best,3411,42.94928173556142,-15.734774844103356,-0.3331134166231046,-15.401661427480251,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top10%,second,3181,44.02703552342031,-14.577750717832846,-2.4851247223245765,-12.09262599550827,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top5%,cons,1696,39.15094339622642,-9.262776866836369,-4.227591671471326,-5.035185195365043,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top5%,best,1705,39.82404692082112,-20.599033877996405,-2.663553872765684,-17.935480005230723,1.1248502328566743,1.14087935939929,1.1194349345426418
player_threes,top5%,second,1594,42.4090338770389,-17.325211767869135,-3.860643614490179,-13.464568153378956,1.1248502328566743,1.14087935939929,1.1194349345426418
