market,variant,model,top,n,win,roi,corr,mae_model,mae_mkt,per
h1_total,anchored,lgbm,top10%,254,56.2992125984252,7.558202207559559,0.011710136076766282,9.520707448047409,9.2248046875,53/60
h1_total,anchored,lgbm,top5%,127,57.48031496062992,9.832148486384828,0.011710136076766282,9.520707448047409,9.2248046875,53/65
h1_total,anchored,xgb,top100%,2537,49.152542372881356,-6.1686800184757935,0.011519728403296861,9.47716353237629,9.2248046875,49/49
h1_total,anchored,xgb,top50%,1269,49.881796690307326,-4.795578364095303,0.011519728403296861,9.47716353237629,9.2248046875,49/50
h1_total,anchored,xgb,top25%,636,51.886792452830186,-0.9027889413353627,0.011519728403296861,9.47716353237629,9.2248046875,52/52
h1_total,anchored,xgb,top10%,254,55.118110236220474,5.297617272962659,0.011519728403296861,9.47716353237629,9.2248046875,53/58
h1_total,anchored,xgb,top5%,127,55.90551181102362,6.894366230893459,0.011519728403296861,9.47716353237629,9.2248046875,51/63
h1_total,anchored,cat,top100%,2537,50.45329128892393,-3.693026190310939,0.012097682185371068,9.379199574124323,9.2248046875,51/50
h1_total,anchored,cat,top50%,1273,50.43205027494109,-3.7601287001134778,0.012097682185371068,9.379199574124323,9.2248046875,51/50
h1_total,anchored,cat,top25%,636,50.0,-4.538806427615188,0.012097682185371068,9.379199574124323,9.2248046875,50/50
h1_total,anchored,cat,top10%,256,48.828125,-6.775860464035677,0.012097682185371068,9.379199574124323,9.2248046875,48/50
h1_total,anchored,cat,top5%,128,52.34375,-0.08927060132902023,0.012097682185371068,9.379199574124323,9.2248046875,51/58
h1_total,anchored,lgbm_clf,top100%,2537,49.90145841545132,-4.761963404659777,0.0007782618582171337,,,50/50
h1_total,anchored,lgbm_clf,top50%,1272,50.157232704402524,-4.2793867010456985,0.0007782618582171337,,,50/50
h1_total,anchored,lgbm_clf,top25%,633,49.447077409162716,-5.589009000380004,0.0007782618582171337,,,49/49
h1_total,anchored,lgbm_clf,top10%,252,50.0,-4.542238143093842,0.0007782618582171337,,,49/51
h1_total,anchored,lgbm_clf,top5%,126,48.41269841269841,-7.6202330353186545,0.0007782618582171337,,,45/56
h1_total,anchored,hgb_clf,top100%,2537,49.70437524635396,-5.1418316012060155,-0.0007437546922004479,,,51/49
h1_total,anchored,hgb_clf,top50%,1269,48.93617021276596,-6.641437211170052,-0.0007437546922004479,,,50/47
h1_total,anchored,hgb_clf,top25%,633,48.657187993680886,-7.112986992761602,-0.0007437546922004479,,,47/52
h1_total,anchored,hgb_clf,top10%,251,49.40239043824701,-5.678043792648537,-0.0007437546922004479,,,50/48
h1_total,anchored,hgb_clf,top5%,125,47.199999999999996,-9.904489956007593,-0.0007437546922004479,,,47/-
h1_total,anchored,stack,top100%,2537,50.847457627118644,-2.921107596642909,0.0028921273770879732,9.295023200709227,9.2248046875,50/51
h1_total,anchored,stack,top50%,1266,51.026856240126385,-2.5509005460111167,0.0028921273770879732,9.295023200709227,9.2248046875,50/53
h1_total,anchored,stack,top25%,634,47.1608832807571,-9.950202311627049,0.0028921273770879732,9.295023200709227,9.2248046875,47/48
h1_total,anchored,stack,top10%,254,45.66929133858268,-12.803790661531675,0.0028921273770879732,9.295023200709227,9.2248046875,44/51
h1_total,anchored,stack,top5%,126,47.61904761904761,-9.028410673147508,0.0028921273770879732,9.295023200709227,9.2248046875,48/44
h1_total,anchored,mean,top100%,2537,49.62554197871501,-5.295791364813169,0.01165039234703557,9.381812304942406,9.2248046875,50/49
h1_total,anchored,mean,top50%,1266,48.81516587677725,-6.844271045879771,0.01165039234703557,9.381812304942406,9.2248046875,49/48
h1_total,anchored,mean,top25%,635,52.125984251968504,-0.5188058229155693,0.01165039234703557,9.381812304942406,9.2248046875,51/53
h1_total,anchored,mean,top10%,255,58.03921568627452,10.78885463916148,0.01165039234703557,9.381812304942406,9.2248046875,58/59
h1_total,anchored,mean,top5%,127,55.90551181102362,6.867007353664096,0.01165039234703557,9.381812304942406,9.2248046875,51/64
h1_total,share,ridge,top100%,2537,49.66495861253449,-5.205743403991199,0.014310522216691083,,,48/51
h1_total,share,ridge,top50%,1268,50.63091482649842,-3.360566082898332,0.014310522216691083,,,50/51
h1_total,share,ridge,top25%,634,50.78864353312302,-3.104390959325629,0.014310522216691083,,,50/52
h1_total,share,ridge,top10%,255,52.156862745098046,-0.4467503729851492,0.014310522216691083,,,49/55
h1_total,share,ridge,top5%,128,53.125,1.2945999475247214,0.014310522216691083,,,51/55
h1_total,share,hgb,top100%,2537,51.044540796216,-2.5651633703150596,0.05259235502161809,,,52/50
h1_total,share,hgb,top50%,1266,51.97472353870458,-0.7626351798076977,0.05259235502161809,,,53/51
h1_total,share,hgb,top25%,631,52.931854199683045,1.021463801444271,0.05259235502161809,,,55/51
h1_total,share,hgb,top10%,249,58.63453815261044,11.836965204489534,0.05259235502161809,,,59/57
h1_total,share,hgb,top5%,122,59.01639344262295,12.536940289133424,0.05259235502161809,,,59/60
h1_total,share,lgbm,top100%,2537,50.72920772566023,-3.1725879438737987,0.0324562568537055,,,51/51
h1_total,share,lgbm,top50%,1269,50.82742316784869,-2.981308848031917,0.0324562568537055,,,52/50
h1_total,share,lgbm,top25%,634,50.78864353312302,-3.02630224977473,0.0324562568537055,,,52/49
h1_total,share,lgbm,top10%,252,48.01587301587302,-8.346526714408148,0.0324562568537055,,,49/46
h1_total,share,lgbm,top5%,127,43.30708661417323,-17.31418760071664,0.0324562568537055,,,46/38
h1_total,share,xgb,top100%,2537,50.37445802128499,-3.8451904602476263,0.04462918932825543,,,51/50
h1_total,share,xgb,top50%,1267,50.355169692186266,-3.878552990066776,0.04462918932825543,,,51/49
h1_total,share,xgb,top25%,633,51.81674565560821,-1.065347541564643,0.04462918932825543,,,54/49
h1_total,share,xgb,top10%,251,54.18326693227091,3.5205878438878875,0.04462918932825543,,,59/47
h1_total,share,xgb,top5%,126,57.936507936507944,10.650427274449052,0.04462918932825543,,,59/56
h1_total,share,cat,top100%,2537,50.2167914860071,-4.174670216563543,0.024370436450145836,,,50/51
h1_total,share,cat,top50%,1271,49.96066089693155,-4.667804615585607,0.024370436450145836,,,49/50
h1_total,share,cat,top25%,636,50.314465408805034,-3.975135391107345,0.024370436450145836,,,48/53
h1_total,share,cat,top10%,254,48.818897637795274,-6.801798326134922,0.024370436450145836,,,47/51
