market,model,mode,cut,venue,n,win,roi,blind_roi,delta
player_points_rebounds_assists,resid,abs,top10%,best,4553,53.48122117285307,-0.2416223058484817,1.8642134701003878,-2.1058357759488695
player_points_rebounds_assists,resid,abs,top5%,cons,2272,53.125,-1.8254152381084334,2.055905292361555,-3.8813205304699885
player_points_rebounds_assists,resid,abs,top5%,best,2277,54.19411506368028,0.9532263261160936,4.400501180019722,-3.4472748539036284
player_points_rebounds_assists,resid,under,top100%,cons,45373,51.5769290106451,-3.8007659125805713,-3.8007659125805713,0.0
player_points_rebounds_assists,resid,under,top100%,best,45524,53.10166066250769,-0.769166722625308,-0.769166722625308,0.0
player_points_rebounds_assists,resid,under,top25%,cons,11344,52.64456981664316,-2.333864652681754,-3.8007659125805713,1.4669012598988171
player_points_rebounds_assists,resid,under,top25%,best,11381,53.67718126702399,0.1339810100488719,-0.769166722625308,0.9031477326741799
player_points_rebounds_assists,resid,under,top10%,cons,4538,53.657999118554436,-0.4387244220975739,-3.8007659125805713,3.3620414904829974
player_points_rebounds_assists,resid,under,top10%,best,4553,54.71117944212607,2.095439278003333,-0.769166722625308,2.8646060006286413
player_points_rebounds_assists,resid,under,top5%,cons,2269,54.86998677831644,1.5611452539359068,-3.8007659125805713,5.361911166516478
player_points_rebounds_assists,resid,under,top5%,best,2277,55.775142731664474,3.9035241699134984,-0.769166722625308,4.672690892538807
player_points_rebounds_assists,ridge,mkt,top100%,cons,45373,51.53725784056598,-4.031068462987418,-3.8007659125805713,-0.23030255040684633
player_points_rebounds_assists,ridge,mkt,top100%,best,45524,52.732624549688076,-1.4867109575104853,-0.769166722625308,-0.7175442348851773
player_points_rebounds_assists,ridge,mkt,top25%,cons,11345,53.195240193918025,-1.4316005147780129,-1.7531657502639655,0.3215652354859526
player_points_rebounds_assists,ridge,mkt,top25%,best,11382,54.182041820418206,0.8929364617565063,1.1542087038211424,-0.26127224206463606
player_points_rebounds_assists,ridge,mkt,top10%,cons,4538,53.459673865138825,-1.1516687548491544,-0.27830735761828235,-0.873361397230872
player_points_rebounds_assists,ridge,mkt,top10%,best,4554,54.28194993412385,0.9975484944143785,2.2844638696719954,-1.286915375257617
player_points_rebounds_assists,ridge,mkt,top5%,cons,2269,53.635962979286035,-0.9709025910899943,-0.1951036762171981,-0.7757989148727962
player_points_rebounds_assists,ridge,mkt,top5%,best,2277,54.413702239789195,1.173367885628132,2.2762172359304045,-1.1028493503022725
player_points_rebounds_assists,ridge,abs,top100%,cons,45373,51.79512044608027,-4.126278695111614,-3.8007659125805713,-0.32551278253104243
player_points_rebounds_assists,ridge,abs,top100%,best,45524,52.93032246727001,-1.5185442302654586,-0.769166722625308,-0.7493775076401505
player_points_rebounds_assists,ridge,abs,top25%,cons,11347,53.309244734291006,-2.458248363672043,-1.687967277176214,-0.7702810864958289
player_points_rebounds_assists,ridge,abs,top25%,best,11402,54.06069110682337,-0.29806816730556146,1.0812770764130581,-1.3793452437186196
player_points_rebounds_assists,ridge,abs,top10%,cons,4541,54.371283858181016,-1.1339627050455645,-0.18552272127105707,-0.9484399837745074
player_points_rebounds_assists,ridge,abs,top10%,best,4554,54.98462889767237,0.8641307140370446,2.229875467511505,-1.3657447534744604
player_points_rebounds_assists,ridge,abs,top5%,cons,2276,55.536028119507904,0.618079938452776,0.9608099299281678,-0.34272999147539185
player_points_rebounds_assists,ridge,abs,top5%,best,2280,56.05263157894736,2.537323105753514,3.108791505035601,-0.5714683992820868
player_points_rebounds_assists,ridge,under,top100%,cons,45373,51.5769290106451,-3.8007659125805713,-3.8007659125805713,0.0
player_points_rebounds_assists,ridge,under,top100%,best,45524,53.10166066250769,-0.769166722625308,-0.769166722625308,0.0
player_points_rebounds_assists,ridge,under,top25%,cons,11344,53.30571227080395,-1.2817817688913036,-3.8007659125805713,2.5189841436892677
player_points_rebounds_assists,ridge,under,top25%,best,11381,54.3801071962042,1.3093243760998101,-0.769166722625308,2.0784910987251184
player_points_rebounds_assists,ridge,under,top10%,cons,4538,54.67166152490084,1.081071185246077,-3.8007659125805713,4.881837097826648
player_points_rebounds_assists,ridge,under,top10%,best,4553,55.52383044146716,3.3181374789907627,-0.769166722625308,4.087304201616071
player_points_rebounds_assists,ridge,under,top5%,cons,2269,55.48699867783164,2.4019786102123435,-3.8007659125805713,6.202744522792915
player_points_rebounds_assists,ridge,under,top5%,best,2277,56.258234519104086,4.592090915785477,-0.769166722625308,5.361257638410785
player_points_rebounds_assists,clf,mkt,top100%,cons,45373,51.22429638771957,-4.445007192716241,-3.8007659125805713,-0.6442412801356694
player_points_rebounds_assists,clf,mkt,top100%,best,45524,52.572269572093845,-1.6059635663512257,-0.769166722625308,-0.8367968437259177
player_points_rebounds_assists,clf,mkt,top25%,cons,11344,52.06276445698167,-3.1598698678827084,-2.182717334442313,-0.9771525334403952
player_points_rebounds_assists,clf,mkt,top25%,best,11381,53.24663913540111,-0.3119921225485866,0.7791853361646778,-1.0911774587132643
player_points_rebounds_assists,clf,mkt,top10%,cons,4538,51.36624063464082,-4.531193898605744,-0.6367356254960956,-3.894458273109648
player_points_rebounds_assists,clf,mkt,top10%,best,4553,52.53678893037558,-1.5966167142044023,2.130559353207379,-3.7271760674117815
player_points_rebounds_assists,clf,mkt,top5%,cons,2269,52.137505509034824,-3.0468667168194843,-0.2102986575749121,-2.836568059244572
player_points_rebounds_assists,clf,mkt,top5%,best,2277,53.40360122968819,0.07548262060447695,2.419154111052167,-2.34367149044769
player_points_rebounds_assists,clf,abs,top100%,cons,45373,51.49979062438014,-4.3615147400818755,-3.8007659125805713,-0.5607488275013042
player_points_rebounds_assists,clf,abs,top100%,best,45524,52.77655742026184,-1.5390070568183931,-0.769166722625308,-0.7698403341930851
player_points_rebounds_assists,clf,abs,top25%,cons,11344,53.005994358251066,-2.25503074349402,-1.9737811262584035,-0.2812496172356167
player_points_rebounds_assists,clf,abs,top25%,best,11381,54.01985765749934,0.40954658744435934,0.7475901001964677,-0.3380435127521083
player_points_rebounds_assists,clf,abs,top10%,cons,4538,52.732481269281614,-2.821321501086703,0.4912159315759046,-3.312537432662608
player_points_rebounds_assists,clf,abs,top10%,best,4553,53.76674719964858,-0.002670523729163056,3.1498813639623426,-3.1525518876915055
player_points_rebounds_assists,clf,abs,top5%,cons,2269,52.930806522697225,-2.4887968128922227,-0.5386979688154332,-1.9500988440767895
player_points_rebounds_assists,clf,abs,top5%,best,2277,53.93061045234958,0.25107107719518557,1.7773945602765457,-1.5263234830813601
player_points_rebounds_assists,clf,under,top100%,cons,45373,51.5769290106451,-3.8007659125805713,-3.8007659125805713,0.0
player_points_rebounds_assists,clf,under,top100%,best,45524,53.10166066250769,-0.769166722625308,-0.769166722625308,0.0
player_points_rebounds_assists,clf,under,top25%,cons,11344,53.55253878702398,-0.5457238350667806,-3.8007659125805713,3.2550420775137905
player_points_rebounds_assists,clf,under,top25%,best,11381,54.74035673490906,2.2734361733528003,-0.769166722625308,3.042602895978108
player_points_rebounds_assists,clf,under,top10%,cons,4538,53.72410753635963,-0.20364264708460558,-3.8007659125805713,3.5971232654959655
player_points_rebounds_assists,clf,under,top10%,best,4553,54.68921590160334,2.282199261608999,-0.769166722625308,3.051365984234307
player_points_rebounds_assists,clf,under,top5%,cons,2269,53.50374614367562,-0.5237027694076732,-3.8007659125805713,3.277063143172898
player_points_rebounds_assists,clf,under,top5%,best,2277,54.36978480456741,1.87263092452306,-0.769166722625308,2.641797647148368
player_points_rebounds_assists,mlp,mkt,top100%,cons,45373,50.882683534260465,-5.011777982059586,-3.8007659125805713,-1.2110120694790147
player_points_rebounds_assists,mlp,mkt,top100%,best,45524,52.34162200158158,-2.1027026889969624,-0.769166722625308,-1.3335359663716544
player_points_rebounds_assists,mlp,mkt,top25%,cons,11344,50.95204513399154,-5.083171765836237,-3.6559089177586297,-1.4272628480776075
player_points_rebounds_assists,mlp,mkt,top25%,best,11381,52.359195149811086,-2.166281396083029,-0.40135002965803945,-1.7649313664249897
player_points_rebounds_assists,mlp,mkt,top10%,cons,4538,50.46275892463641,-6.013110811986709,-4.062493922375224,-1.950616889611485
player_points_rebounds_assists,mlp,mkt,top10%,best,4553,51.70217439051174,-3.3757428350015024,-0.916076958009287,-2.4596658769922155
player_points_rebounds_assists,mlp,mkt,top5%,cons,2269,50.2864698104892,-6.209575935521804,-4.306058549523721,-1.9035173859980832
player_points_rebounds_assists,mlp,mkt,top5%,best,2277,51.5590689503733,-3.5848978375153004,-1.0446914937551681,-2.5402063437601323
player_points_rebounds_assists,mlp,abs,top100%,cons,45373,51.31465849734423,-4.605962421287005,-3.8007659125805713,-0.8051965087064339
player_points_rebounds_assists,mlp,abs,top100%,best,45524,52.69747825322907,-1.7283073673348008,-0.769166722625308,-0.9591406447094928
player_points_rebounds_assists,mlp,abs,top25%,cons,11344,51.61318758815233,-4.632253958534959,-3.355168903243895,-1.2770850552910642
player_points_rebounds_assists,mlp,abs,top25%,best,11381,52.83367015200773,-1.8688970705231278,-0.27308249115346866,-1.5958145793696592
player_points_rebounds_assists,mlp,abs,top10%,cons,4538,51.454385191714415,-4.994832623525042,-4.127091920654276,-0.8677407028707655
player_points_rebounds_assists,mlp,abs,top10%,best,4553,52.58071601142104,-2.427374169822842,-1.1010602885698084,-1.3263138812530335
player_points_rebounds_assists,mlp,abs,top5%,cons,2269,51.16791538122521,-5.4155350204289565,-4.4390359708736415,-0.976499049555315
player_points_rebounds_assists,mlp,abs,top5%,best,2277,52.393500219587175,-2.606110872277891,-1.0389515062565862,-1.5671593660213048
player_points_rebounds_assists,mlp,under,top100%,cons,45373,51.5769290106451,-3.8007659125805713,-3.8007659125805713,0.0
player_points_rebounds_assists,mlp,under,top100%,best,45524,53.10166066250769,-0.769166722625308,-0.769166722625308,0.0
player_points_rebounds_assists,mlp,under,top25%,cons,11344,52.06276445698167,-3.0721572184428174,-3.8007659125805713,0.7286086941377539
player_points_rebounds_assists,mlp,under,top25%,best,11381,53.229065987171595,-0.4658191393238936,-0.769166722625308,0.3033475833014144
player_points_rebounds_assists,mlp,under,top10%,cons,4538,51.1899515204936,-4.769850242185194,-3.8007659125805713,-0.9690843296046223
player_points_rebounds_assists,mlp,under,top10%,best,4553,52.514825389852845,-1.9858796570868171,-0.769166722625308,-1.216712934461509
player_points_rebounds_assists,mlp,under,top5%,cons,2269,51.432349052446014,-4.16565157338458,-3.8007659125805713,-0.36488566080400897
