pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W10-NO@MIN-HLU,2023,10,NO@MIN,total_high_line_under,total,UNDER 39,-2,39.0,40.5,11.83,,,NO,MIN,8,46,0.0,-1.5,-1.0
2023-W10-IND@NE-S,2023,10,IND@NE,sides_model,spread,NE -1,1,-1.0,2.0,0.27,1.0,1.56,IND,NE,-4,16,0.0,-3.0,-1.0
2023-W10-IND@NE-BBU,2023,10,IND@NE,bot_vs_bot_under,total,UNDER 44,-2,44.0,42.5,44.0,,,IND,NE,-4,16,1.0,1.5,0.9090909090909091
2023-W10-GB@PIT-S,2023,10,GB@PIT,sides_model,spread,GB +3,0,-3.0,-3.0,-0.25,1.0,-4.34,GB,PIT,4,42,0.0,0.0,-1.0
2023-W10-WAS@SEA-S,2023,10,WAS@SEA,sides_model,spread,WAS +6.5,0,-6.5,-6.0,-0.15,0.0,1.18,WAS,SEA,3,55,1.0,0.5,0.9090909090909091
2023-W10-TEN@TB-S,2023,10,TEN@TB,sides_model,spread,TB -1,1,-1.0,-2.5,0.036,0.0,-2.05,TEN,TB,14,26,1.0,1.5,0.9090909090909091
2023-W10-TEN@TB-HLU,2023,10,TEN@TB,total_high_line_under,total,UNDER 38.5,-2,38.5,39.0,7.0,,,TEN,TB,14,26,1.0,-0.5,0.9090909090909091
2023-W11-CIN@BAL-S,2023,11,CIN@BAL,sides_model,spread,CIN +3,0,-3.0,-4.0,-0.175,0.0,3.91,CIN,BAL,14,54,0.0,-1.0,-1.0
2023-W11-CIN@BAL-O,2023,11,CIN@BAL,receiver_over_HC,total,OVER 44,-1,44.0,46.5,44.4,,,CIN,BAL,14,54,1.0,2.5,0.9090909090909091
2023-W11-CIN@BAL-PTF,2023,11,CIN@BAL,primetime_tight_favorite,spread,BAL -3,1,-3.0,-4.0,3.0,,,CIN,BAL,14,54,1.0,1.0,0.9090909090909091
2023-W11-CIN@BAL-PTU,2023,11,CIN@BAL,primetime_tight_under,total,UNDER 44,-2,44.0,46.5,44.0,,,CIN,BAL,14,54,0.0,-2.5,-1.0
2023-W11-CIN@BAL-TTH,2023,11,CIN@BAL,top_vs_top_pt_home,spread,BAL -3,1,-3.0,-4.0,0.0,,,CIN,BAL,14,54,1.0,1.0,0.9090909090909091
2023-W11-NYJ@BUF-S,2023,11,NYJ@BUF,sides_model,spread,NYJ +6.5,0,-6.5,-8.5,-0.11,0.0,1.68,NYJ,BUF,26,38,0.0,-2.0,-1.0
2023-W11-DAL@CAR-S,2023,11,DAL@CAR,sides_model,spread,CAR +10.5,1,10.5,11.0,0.137,0.0,-1.04,DAL,CAR,-23,43,0.0,-0.5,-1.0
2023-W11-PIT@CLE-S,2023,11,PIT@CLE,sides_model,spread,PIT +4.5,0,-4.5,-2.0,-0.151,1.0,-2.12,PIT,CLE,3,23,1.0,2.5,0.9090909090909091
2023-W11-PIT@CLE-HLU,2023,11,PIT@CLE,total_high_line_under,total,UNDER 37.5,-2,37.5,34.0,4.42,,,PIT,CLE,3,23,1.0,3.5,0.9090909090909091
